iter	Passed	Remaining
373	4209	7045
374	4220	7034
375	4232	7024
376	4242	7011
377	4253	6999
378	4264	6987
379	4274	6974
380	4284	6960
381	4293	6945
382	4302	6931
383	4311	6916
384	4321	6903
385	4330	6887
386	4343	6879
387	4361	6879
388	4375	6872
389	4389	6865
390	4402	6857
391	4412	6844
392	4421	6828
393	4432	6816
394	4440	6801
395	4451	6790
396	4462	6777
397	4477	6772
398	4492	6766
399	4504	6756
400	4518	6749
401	4527	6734
402	4538	6722
403	4547	6708
404	4556	6693
405	4566	6681
406	4574	6664
407	4582	6648
408	4591	6634
409	4600	6620
410	4609	6605
411	4617	6590
412	4626	6574
413	4633	6558
414	4641	6542
415	4654	6533
416	4667	6524
417	4679	6515
418	4689	6503
419	4698	6487
420	4706	6473
421	4739	6492
422	4766	6501
423	4783	6498
424	4793	6485
425	4803	6471
426	4814	6460
427	4822	6444
428	4830	6429
429	4839	6415
430	4849	6402
431	4864	6395
432	4874	6382
433	4885	6371
434	4899	6363
435	4910	6352
436	4919	6337
437	4930	6326
438	4940	6312
439	4948	6298
440	4959	6286
441	4967	6271
442	4977	6258
443	4987	6245
444	4996	6232
445	5007	6219
446	5016	6206
447	5027	6194
448	5036	6180
449	5046	6167
450	5058	6158
451	5067	6143
452	5077	6131
453	5086	6117
454	5096	6104
455	5106	6091
456	5117	6080
457	5126	6067
458	5135	6053
459	5145	6039
460	5156	6028
461	5164	6013
462	5174	6001
463	5188	5993
464	5196	5979
465	5208	5968
466	5217	5954
467	5227	5942
468	5236	5928
469	5244	5913
470	5254	5901
471	5262	5886
472	5271	5873
473	5278	5858
474	5288	5845
475	5297	5831
476	5311	5823
477	5323	5813
478	5333	5801
479	5342	5788
480	5351	5774
481	5360	5760
482	5370	5748
483	5384	5740
484	5401	5735
485	5411	5723
486	5422	5712
487	5431	5699
488	5441	5685
489	5451	5674
490	5460	5661
491	5471	5649
492	5481	5636
493	5493	5626
494	5502	5614
495	5511	5600
496	5520	5587
497	5530	5575
498	5539	5562
499	5549	5549
500	5558	5536
501	5569	5525
502	5577	5511
503	5589	5500
504	5598	5487
505	5607	5474
506	5618	5463
507	5629	5452
508	5640	5441
509	5653	5431
510	5663	5419
511	5673	5407
512	5687	5398
513	5699	5389
514	5709	5377
515	5721	5367
516	5732	5355
517	5740	5341
518	5750	5329
519	5760	5317
520	5770	5305
521	5781	5294
522	5790	5281
523	5799	5268
524	5809	5255
525	5818	5243
526	5828	5230
527	5835	5216
528	5844	5203
529	5852	5189
530	5861	5176
531	5868	5162
532	5878	5150
533	5887	5137
534	5896	5125
535	5905	5112
536	5917	5102
537	5927	5090
538	5936	5077
539	5945	5064
540	5955	5052
541	5965	5041
542	5976	5030
543	5987	5018
544	5998	5007
545	6007	4995
546	6015	4981
547	6025	4969
548	6033	4956
549	6044	4945
550	6052	4932
551	6061	4919
552	6069	4905
553	6078	4893
554	6085	4879
555	6093	4866
556	6101	4852
557	6110	4840
558	6117	4826
559	6128	4815
560	6140	4804
561	6152	4795
562	6162	4783
563	6174	4772
564	6183	4761
565	6194	4749
566	6205	4738
567	6216	4727
568	6227	4717
569	6239	4707
570	6253	4698
571	6265	4688
572	6278	4678
573	6291	4669
574	6302	4658
575	6316	4649
576	6329	4640
577	6338	4627
578	6349	4616
579	6358	4604
580	6366	4591
581	6378	4581
582	6386	4568
583	6397	4556
584	6406	4544
585	6415	4532
586	6425	4521
587	6433	4507
588	6443	4496
589	6451	4483
590	6461	4471
591	6469	4458
592	6477	4446
593	6485	4433
594	6495	4421
595	6503	4408
596	6511	4395
597	6519	4382
598	6527	4369
599	6536	4357
600	6544	4344
601	6553	4332
602	6561	4320
603	6569	4307
604	6577	4294
605	6584	4280
606	6599	4273
607	6616	4265
608	6635	4260
609	6650	4251
610	6662	4241
611	6673	4231
612	6687	4222
613	6697	4210
614	6706	4198
615	6715	4186
616	6723	4173
617	6731	4161
618	6739	4148
619	6748	4135
620	6755	4122
621	6763	4110
622	6771	4097
623	6780	4085
624	6787	4072
625	6795	4060
626	6803	4047
627	6811	4035
628	6819	4022
629	6826	4009
630	6835	3997
631	6843	3984
632	6854	3974
633	6863	3962
634	6875	3951
635	6887	3941
636	6894	3928
637	6906	3918
638	6921	3910
639	6929	3897
640	6939	3886
641	6948	3874
642	6955	3861
643	6964	3850
644	6973	3837
645	6981	3825
646	6988	3813
647	6997	3801
648	7004	3788
649	7011	3775
650	7020	3763
651	7028	3751
652	7036	3739
653	7043	3726
654	7054	3715
655	7062	3703
656	7070	3691
657	7077	3678
658	7084	3666
659	7092	3653
660	7102	3642
661	7112	3631
662	7120	3619
663	7129	3607
664	7136	3594
665	7143	3582
666	7150	3569
667	7157	3557
668	7165	3545
669	7172	3532
670	7179	3520
671	7187	3507
672	7194	3495
673	7201	3483
674	7208	3470
675	7215	3458
676	7222	3446
677	7230	3434
678	7238	3422
679	7246	3410
680	7254	3398
681	7261	3386
682	7274	3376
683	7290	3368
684	7306	3359
685	7322	3351
686	7341	3344
687	7356	3335
688	7372	3327
689	7394	3322
690	7409	3313
691	7422	3303
692	7438	3295
693	7455	3287
694	7470	3278
695	7484	3269
696	7497	3259
697	7510	3249
698	7519	3237
699	7528	3226
700	7536	3214
701	7548	3204
702	7563	3195
703	7577	3186
704	7586	3174
705	7599	3164
706	7609	3153
707	7632	3147
708	7654	3141
709	7677	3136
710	7698	3129
711	7713	3119
712	7726	3110
713	7737	3099
714	7751	3089
715	7765	3080
716	7776	3069
717	7788	3059
718	7801	3048
719	7814	3039
720	7828	3029
721	7841	3019
722	7853	3008
723	7865	2998
724	7873	2986
725	7880	2974
726	7889	2962
727	7898	2950
728	7906	2939
729	7913	2927
730	7921	2915
731	7929	2903
732	7936	2891
733	7944	2879
734	7951	2866
735	7959	2854
736	7966	2842
737	7974	2831
738	7982	2819
739	7990	2807
740	7997	2795
741	8005	2783
742	8012	2771
743	8022	2760
744	8030	2748
745	8039	2737
746	8047	2725
747	8056	2714
748	8064	2702
749	8072	2690
750	8080	2679
751	8089	2667
752	8097	2656
753	8106	2644
754	8114	2633
755	8123	2621
756	8131	2610
757	8140	2599
758	8149	2587
759	8162	2577
760	8173	2566
761	8181	2555
762	8191	2544
763	8200	2533
764	8209	2521
765	8220	2511
766	8228	2499
767	8237	2488
768	8245	2476
769	8253	2465
770	8260	2453
771	8269	2442
772	8277	2430
773	8285	2419
774	8293	2407
775	8301	2396
776	8309	2384
777	8318	2373
778	8329	2363
779	8337	2351
780	8346	2340
781	8354	2328
782	8362	2317
783	8370	2306
784	8381	2295
785	8390	2284
786	8399	2273
787	8407	2261
788	8416	2250
789	8424	2239
790	8433	2228
791	8440	2216
792	8448	2205
793	8456	2193
794	8464	2182
795	8477	2172
796	8491	2162
797	8502	2152
798	8510	2140
799	8521	2130
800	8530	2119
801	8540	2108
802	8559	2099
803	8580	2091
804	8596	2082
805	8607	2071
806	8617	2060
807	8626	2049
808	8637	2039
809	8647	2028
810	8655	2017
811	8664	2005
812	8673	1995
813	8681	1983
814	8690	1972
815	8699	1961
816	8708	1950
817	8716	1939
818	8726	1928
819	8735	1917
820	8744	1906
821	8753	1895
822	8762	1884
823	8769	1873
824	8778	1862
825	8787	1851
826	8798	1840
827	8807	1829
828	8817	1818
829	8827	1807
830	8835	1796
831	8845	1786
832	8855	1775
833	8865	1764
834	8876	1754
835	8886	1743
836	8896	1732
837	8913	1723
838	8929	1713
839	8941	1703
840	8952	1692
841	8965	1682
842	8976	1671
843	8985	1660
844	8996	1650
845	9005	1639
846	9015	1628
847	9025	1617
848	9035	1606
849	9045	1596
850	9055	1585
851	9065	1574
852	9075	1564
853	9090	1554
854	9105	1544
855	9115	1533
856	9125	1522
857	9139	1512
858	9154	1502
859	9164	1491
860	9176	1481
861	9190	1471
862	9198	1460
863	9208	1449
864	9216	1438
865	9226	1427
866	9234	1416
867	9243	1405
868	9252	1394
869	9261	1383
870	9272	1373
871	9281	1362
872	9292	1351
873	9300	1340
874	9311	1330
875	9320	1319
876	9329	1308
877	9337	1297
878	9346	1286
879	9355	1275
880	9364	1264
881	9372	1253
882	9381	1243
883	9390	1232
884	9398	1221
885	9407	1210
886	9415	1199
887	9423	1188
888	9432	1177
889	9440	1166
890	9448	1155
891	9457	1145
892	9466	1134
893	9475	1123
894	9484	1112
895	9492	1101
896	9501	1090
897	9509	1080
898	9518	1069
899	9527	1058
900	9537	1047
901	9546	1037
902	9560	1026
903	9569	1016
904	9580	1005
905	9594	995
906	9603	984
907	9611	973
908	9619	963
909	9629	952
910	9637	941
911	9647	930
912	9656	920
913	9665	909
914	9677	899
915	9687	888
916	9697	877
917	9706	867
918	9717	856
919	9726	845
920	9735	835
921	9746	824
922	9755	813
923	9766	803
924	9775	792
925	9788	782
926	9799	771
927	9809	761
928	9819	750
929	9829	739
930	9839	729
931	9847	718
932	9857	707
933	9869	697
934	9878	686
935	9887	676
936	9897	665
937	9906	654
938	9916	644
939	9926	633
940	9935	622
941	9944	612
942	9952	601
943	9962	590
944	9971	580
945	9980	569
946	9993	559
947	10003	548
948	10018	538
949	10029	527
950	10038	517
951	10049	506
952	10058	496
953	10067	485
954	10076	474
955	10086	464
956	10095	453
957	10104	442
958	10114	432
959	10125	421
960	10135	411
961	10144	400
962	10153	390
963	10162	379
964	10173	368
965	10181	358
966	10192	347
967	10200	337
968	10209	326
969	10218	316
970	10228	305
971	10238	294
972	10247	284
973	10257	273
974	10267	263
975	10278	252
976	10288	242
977	10298	231
978	10307	221
979	10319	210
980	10333	200
981	10343	189
982	10352	179
983	10362	168
984	10378	158
985	10389	147
986	10397	136
987	10408	126
988	10419	115
989	10429	105
990	10439	94
991	10448	84
992	10458	73
993	10467	63
994	10477	52
995	10487	42
996	10495	31
997	10506	21
998	10515	10
999	10526	0
